TeamId,TeamName,SubmissionDate,Score
1026340,sumoonsum,"2017-10-23 20:50:01",0.6931
1026460,NxGTR,"2017-10-23 21:26:41",0.6931
1026467,"Gokagglers ","2017-10-23 21:28:30",0.6931
1026493,gavrand,"2017-10-23 21:37:38",0.6931
1026544,"Paulo Pinto","2017-10-23 22:28:10",0.6976
1026605,"Bojan Tunguz","2017-10-23 22:40:52",0.7223
1026605,"Bojan Tunguz","2017-10-23 22:41:35",0.6938
1026637,Burger,"2017-10-23 22:54:28",0.6931
1026558,"Kevin Mader","2017-10-23 22:55:15",0.5238
1026648,MineshJethva,"2017-10-23 23:04:47",0.5238
1026467,"Gokagglers ","2017-10-23 23:22:04",0.5238
1026652,Aboutrika,"2017-10-23 23:45:26",0.6422
1026652,Aboutrika,"2017-10-23 23:49:24",0.3793
1026666,j,"2017-10-23 23:58:39",0.5582
1026750,"Dan Kolbman","2017-10-24 00:09:11",0.6976
1026652,Aboutrika,"2017-10-24 00:21:06",0.3111
1026761,VikasSangwan,"2017-10-24 00:23:09",1.0529
1026761,VikasSangwan,"2017-10-24 00:27:32",0.6931
1026546,"Ice Boat","2017-10-24 00:34:55",0.5576
1026666,j,"2017-10-24 00:40:55",0.3731
1026810,"Chris Cross","2017-10-24 00:51:28",0.2834
1026544,"Paulo Pinto","2017-10-24 00:53:21",0.3329
1026644,oukat,"2017-10-24 01:15:51",0.6294
1026927,"Pedro Reis","2017-10-24 01:18:11",0.5515
1026927,"Pedro Reis","2017-10-24 01:30:16",0.4671
1026339,Juanu,"2017-10-24 01:40:36",0.5416
1026843,ManikandanSwaminathan,"2017-10-24 02:20:21",0.5618
1026843,ManikandanSwaminathan,"2017-10-24 02:23:14",0.5338
1026605,"Bojan Tunguz","2017-10-24 03:06:34",0.3338
1027159,something4kag,"2017-10-24 03:27:45",0.3168
1026998,NickBuchny,"2017-10-24 03:35:08",0.3204
1027246,yuerlong,"2017-10-24 04:31:10",0.2865
1027335,ChenHao,"2017-10-24 04:40:56",0.6931
1026625,brassmonkey,"2017-10-24 04:45:36",0.4361
1026666,j,"2017-10-24 05:13:02",0.2401
1026460,NxGTR,"2017-10-24 05:21:53",0.2526
1026583,IlyaV,"2017-10-24 05:25:03",0.3530
1027472,MechCoder,"2017-10-24 05:31:11",0.6931
1027246,yuerlong,"2017-10-24 05:31:37",0.2106
